scenario,condition,reward,response_index,rank,feature_label,activation,source_log
Prompting (Offer: 20),prompting,,33,1,Economic tradeoffs and payoff structures in social contexts,146.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,33,2,Game theory concepts involving cooperation versus competition,61.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,33,3,Probability-based decision making scenarios with explicit numerical comparisons,49.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,33,4,Formal offer and counteroffer language in negotiations,41.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,33,5,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,33,6,The assistant is explaining why it cannot fulfill an unethical request,33.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,33,7,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,33,8,Rational choice theory and utility maximization in formal decision-making,24.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,33,9,The assistant needs clarification or should carefully explain concepts,23.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,33,10,Negotiation strategies and tactics being discussed,21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,34,1,Economic tradeoffs and payoff structures in social contexts,166.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,34,2,Game theory concepts involving cooperation versus competition,64.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,34,3,Probability-based decision making scenarios with explicit numerical comparisons,51.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,34,4,Formal offer and counteroffer language in negotiations,45.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,34,5,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,34,6,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,34,7,Rational choice theory and utility maximization in formal decision-making,24.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,34,8,Rejection and prevention of rejection in medical and emotional contexts,23.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,34,9,"Ensuring safety, stability and protection in business and financial contexts",21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,34,10,Negotiation strategies and tactics being discussed,20.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,35,1,Economic tradeoffs and payoff structures in social contexts,150.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,35,2,Game theory concepts involving cooperation versus competition,61.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,35,3,Formal offer and counteroffer language in negotiations,44.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,35,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,35,5,Probability-based decision making scenarios with explicit numerical comparisons,36.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,35,6,"The assistant should maintain a careful, diplomatic tone while discussing sensitive topics",34.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,35,7,The assistant should select between provided options,30.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,35,8,The assistant is explaining why it cannot fulfill an unethical request,23.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,35,9,Rational choice theory and utility maximization in formal decision-making,22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,35,10,Rejection and prevention of rejection in medical and emotional contexts,22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,36,1,Economic tradeoffs and payoff structures in social contexts,153.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,36,2,Game theory concepts involving cooperation versus competition,63.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,36,3,Formal offer and counteroffer language in negotiations,52.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,36,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,36,5,Probability-based decision making scenarios with explicit numerical comparisons,33.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,36,6,Negotiation strategies and tactics being discussed,29.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,36,7,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,36,8,Rejection and prevention of rejection in medical and emotional contexts,24.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,36,9,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,36,10,Ensuring fairness and equal treatment,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,37,1,Economic tradeoffs and payoff structures in social contexts,154.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,37,2,Game theory concepts involving cooperation versus competition,60.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,37,3,Formal offer and counteroffer language in negotiations,43.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,37,4,Probability-based decision making scenarios with explicit numerical comparisons,42.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,37,5,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,37,6,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,37,7,Rational choice theory and utility maximization in formal decision-making,24.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,37,8,Rejection and prevention of rejection in medical and emotional contexts,23.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,37,9,Negotiation strategies and tactics being discussed,20.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,37,10,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,38,1,Economic tradeoffs and payoff structures in social contexts,142.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,38,2,Game theory concepts involving cooperation versus competition,56.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,38,3,Formal offer and counteroffer language in negotiations,46.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,38,4,Probability-based decision making scenarios with explicit numerical comparisons,42.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,38,5,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,38,6,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,38,7,Rejection and prevention of rejection in medical and emotional contexts,24.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,38,8,Ensuring fairness and equal treatment,21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,38,9,Negotiation strategies and tactics being discussed,20.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,38,10,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,39,1,Economic tradeoffs and payoff structures in social contexts,153.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,39,2,Game theory concepts involving cooperation versus competition,61.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,39,3,Probability-based decision making scenarios with explicit numerical comparisons,43.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,39,4,Formal offer and counteroffer language in negotiations,42.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,39,5,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,39,6,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,39,7,Rational choice theory and utility maximization in formal decision-making,24.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,39,8,Rejection and prevention of rejection in medical and emotional contexts,23.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,39,9,Negotiation strategies and tactics being discussed,20.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,39,10,German compound word components and suffixes,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,40,1,Economic tradeoffs and payoff structures in social contexts,153.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,40,2,Game theory concepts involving cooperation versus competition,68.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,40,3,Formal offer and counteroffer language in negotiations,46.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,40,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,40,5,Probability-based decision making scenarios with explicit numerical comparisons,36.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,40,6,The assistant should select between provided options,29.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,40,7,Negotiation strategies and tactics being discussed,22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,40,8,Ensuring fairness and equal treatment,21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,40,9,Rejection and prevention of rejection in medical and emotional contexts,21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Prompting (Offer: 20),prompting,,40,10,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,1,1,Altruistic and selfless behavior or intentions,244.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,1,2,Economic tradeoffs and payoff structures in social contexts,164.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,1,3,Game theory concepts involving cooperation versus competition,68.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,1,4,Coordinating conjunctions connecting related concepts in formal writing,43.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,1,5,Technical setup and configuration states in experimental procedures,32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,1,6,Descriptions of experimental procedures and participant tasks in research studies,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,1,7,Ensuring fairness and equal treatment,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,1,8,The assistant should select between provided options,25.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,1,9,"Discussions of egoism and self-interest, especially in moral contexts",22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,1,10,Code syntax patterns for object creation and initialization,17.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,2,1,Altruistic and selfless behavior or intentions,247.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,2,2,Economic tradeoffs and payoff structures in social contexts,170.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,2,3,Game theory concepts involving cooperation versus competition,69.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,2,4,Coordinating conjunctions connecting related concepts in formal writing,44.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,2,5,Technical setup and configuration states in experimental procedures,32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,2,6,Descriptions of experimental procedures and participant tasks in research studies,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,2,7,Ensuring fairness and equal treatment,27.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,2,8,The assistant should select between provided options,25.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,2,9,Transitional phrases in explanatory writing,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,2,10,Code syntax patterns for object creation and initialization,17.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,3,1,Altruistic and selfless behavior or intentions,252.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,3,2,Economic tradeoffs and payoff structures in social contexts,170.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,3,3,Game theory concepts involving cooperation versus competition,74.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,3,4,Coordinating conjunctions connecting related concepts in formal writing,49.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,3,5,Technical setup and configuration states in experimental procedures,32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,3,6,Descriptions of experimental procedures and participant tasks in research studies,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,3,7,"Discussions of egoism and self-interest, especially in moral contexts",29.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,3,8,Ensuring fairness and equal treatment,25.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,3,9,The assistant should select between provided options,25.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,3,10,Character decision-making and multi-step action sequences in narratives,24.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,4,1,Altruistic and selfless behavior or intentions,267.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,4,2,Economic tradeoffs and payoff structures in social contexts,184.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,4,3,Game theory concepts involving cooperation versus competition,76.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,4,4,Coordinating conjunctions connecting related concepts in formal writing,51.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,4,5,Technical setup and configuration states in experimental procedures,32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,4,6,"Discussions of egoism and self-interest, especially in moral contexts",32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,4,7,Descriptions of experimental procedures and participant tasks in research studies,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,4,8,The assistant should select between provided options,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,4,9,Character decision-making and multi-step action sequences in narratives,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,4,10,Text elaboration through function words in creative writing,21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,5,1,Altruistic and selfless behavior or intentions,251.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,5,2,Economic tradeoffs and payoff structures in social contexts,171.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,5,3,Game theory concepts involving cooperation versus competition,74.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,5,4,Coordinating conjunctions connecting related concepts in formal writing,48.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,5,5,Technical setup and configuration states in experimental procedures,32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,5,6,Descriptions of experimental procedures and participant tasks in research studies,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,5,7,"Discussions of egoism and self-interest, especially in moral contexts",27.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,5,8,The assistant should select between provided options,25.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,5,9,Ensuring fairness and equal treatment,24.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,5,10,Character decision-making and multi-step action sequences in narratives,22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,6,1,Altruistic and selfless behavior or intentions,222.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,6,2,Economic tradeoffs and payoff structures in social contexts,145.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,6,3,Game theory concepts involving cooperation versus competition,63.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,6,4,Technical setup and configuration states in experimental procedures,34.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,6,5,Coordinating conjunctions connecting related concepts in formal writing,33.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,6,6,Descriptions of experimental procedures and participant tasks in research studies,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,6,7,The assistant should select between provided options,25.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,6,8,"Discussions of egoism and self-interest, especially in moral contexts",21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,6,9,Code syntax patterns for object creation and initialization,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,6,10,Careful explanation or instruction giving,16.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,7,1,Altruistic and selfless behavior or intentions,228.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,7,2,Economic tradeoffs and payoff structures in social contexts,154.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,7,3,Game theory concepts involving cooperation versus competition,60.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,7,4,Technical setup and configuration states in experimental procedures,32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,7,5,Coordinating conjunctions connecting related concepts in formal writing,32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,7,6,Descriptions of experimental procedures and participant tasks in research studies,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,7,7,The assistant should select between provided options,25.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,7,8,"Discussions of egoism and self-interest, especially in moral contexts",22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,7,9,Code syntax patterns for object creation and initialization,17.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,7,10,Careful explanation or instruction giving,16.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,8,1,Altruistic and selfless behavior or intentions,222.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,8,2,Economic tradeoffs and payoff structures in social contexts,145.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,8,3,Game theory concepts involving cooperation versus competition,63.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,8,4,Technical setup and configuration states in experimental procedures,34.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,8,5,Coordinating conjunctions connecting related concepts in formal writing,33.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,8,6,Descriptions of experimental procedures and participant tasks in research studies,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,8,7,The assistant should select between provided options,25.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,8,8,"Discussions of egoism and self-interest, especially in moral contexts",21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,8,9,Code syntax patterns for object creation and initialization,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,8,10,Careful explanation or instruction giving,16.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,9,1,Altruistic and selfless behavior or intentions,268.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,9,2,Economic tradeoffs and payoff structures in social contexts,185.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,9,3,Game theory concepts involving cooperation versus competition,78.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,9,4,Coordinating conjunctions connecting related concepts in formal writing,53.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,9,5,Technical setup and configuration states in experimental procedures,32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,9,6,Descriptions of experimental procedures and participant tasks in research studies,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,9,7,"Discussions of egoism and self-interest, especially in moral contexts",29.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,9,8,The assistant should select between provided options,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,9,9,Character decision-making and multi-step action sequences in narratives,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,9,10,Ensuring fairness and equal treatment,22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,10,1,Altruistic and selfless behavior or intentions,219.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,10,2,Economic tradeoffs and payoff structures in social contexts,149.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,10,3,Game theory concepts involving cooperation versus competition,59.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,10,4,Technical setup and configuration states in experimental procedures,34.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,10,5,Descriptions of experimental procedures and participant tasks in research studies,32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,10,6,Coordinating conjunctions connecting related concepts in formal writing,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,10,7,The assistant should select between provided options,25.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,10,8,Code syntax patterns for object creation and initialization,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,10,9,Ensuring fairness and equal treatment,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,10,10,Careful explanation or instruction giving,16.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,11,1,Altruistic and selfless behavior or intentions,222.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,11,2,Economic tradeoffs and payoff structures in social contexts,145.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,11,3,Game theory concepts involving cooperation versus competition,63.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,11,4,Technical setup and configuration states in experimental procedures,34.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,11,5,Coordinating conjunctions connecting related concepts in formal writing,33.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,11,6,Descriptions of experimental procedures and participant tasks in research studies,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,11,7,The assistant should select between provided options,25.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,11,8,"Discussions of egoism and self-interest, especially in moral contexts",21.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Steering (Offer: 20),steering,,11,9,Code syntax patterns for object creation and initialization,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
